"cs-airport","AAA","Anaa Airport","Anaa",
"cs-airport","AAC","El Arish International Airport","El Arish International","El Arish"
"cs-airport","AAE","Annaba Airport","Annaba","Annabah"
"cs-airport","AAL","Aalborg Airport","Aalborg",
"cs-airport","AAM","Malamala Airport","Malamala",
"cs-airport","AAN","Al Ain International Airport","Al Ain International","Al Ain"
"cs-airport","AAQ","Anapa Vityazevo Airport","Anapa Vityazevo","Anapa"
"cs-airport","AAR","Aarhus Airport","Aarhus",
"cs-airport","AAT","Altay Air Base","Altay Air Base","Altay"
"cs-airport","AAU","Asau Airport","Asau",
"cs-airport","AAX","Romeu Zema Airport","Romeu Zema","AraxÃ¡"
"cs-airport","AAY","Al Ghaidah International Airport","Al Ghaidah International",
"cs-airport","AAZ","Quezaltenango Airport","Quezaltenango",
"cs-airport","ABA","Abakan Airport","Abakan",
"cs-airport","ABC","Albacete-Los Llanos Airport","Albacete-Los Llanos","Albacete"
"cs-airport","ABD","Abadan Airport","Abadan",
"cs-airport","ABE","Lehigh Valley International Airport","Lehigh Valley International","Allentown"
"cs-airport","ABI","Abilene Regional Airport","Abilene Regional","Abilene"
"cs-airport","ABJ","Port Bouet Airport","Port Bouet","Abidjan"
"cs-airport","ABK","Kabri Dehar Airport","Kabri Dehar",
"cs-airport","ABM","Northern Peninsula Airport","Northern Peninsula","Bamaga"
"cs-airport","ABQ","Albuquerque International Sunport Airport","Albuquerque International Sunport","Albuquerque"
"cs-airport","ABR","Aberdeen Regional Airport","Aberdeen Regional","Aberdeen"
"cs-airport","ABS","Abu Simbel Airport","Abu Simbel",
"cs-airport","ABT","Al Baha Airport","Al Baha",
"cs-airport","ABU","Haliwen Airport","Haliwen","Atambua-Timor Island"
"cs-airport","ABV","Nnamdi Azikiwe International Airport","Nnamdi Azikiwe International","Abuja"
"cs-airport","ABX","Albury Airport","Albury",
"cs-airport","ABY","Southwest Georgia Regional Airport","Southwest Georgia Regional","Albany"
"cs-airport","ABZ","Aberdeen Dyce Airport","Aberdeen Dyce","Aberdeen"
"cs-airport","ACA","General Juan N Alvarez International Airport","General Juan N Alvarez International","Acapulco"
"cs-airport","ACC","Kotoka International Airport","Kotoka International","Accra"
"cs-airport","ACE","Lanzarote Airport","Lanzarote","Lanzarote Island"
"cs-airport","ACH","St Gallen Altenrhein Airport","St Gallen Altenrhein","Altenrhein"
"cs-airport","ACI","Alderney Airport","Alderney","Saint Anne"
"cs-airport","ACK","Nantucket Memorial Airport","Nantucket Memorial","Nantucket"
"cs-airport","ACT","Waco Regional Airport","Waco Regional","Waco"
"cs-airport","ACV","Arcata Airport","Arcata","Arcata/Eureka"
"cs-airport","ACX","Xingyi Airport","Xingyi",
"cs-airport","ACY","Atlantic City International Airport","Atlantic City International","Atlantic City"
"cs-airport","ADA","Adana Airport","Adana",
"cs-airport","ADB","Adnan Menderes International Airport","Adnan Menderes International","Ä°zmir"
"cs-airport","ADD","Addis Ababa Bole International Airport","Addis Ababa Bole International","Addis Ababa"
"cs-airport","ADE","Aden International Airport","Aden International","Aden"
"cs-airport","ADF","AdÄ±yaman Airport","AdÄ±yaman",
"cs-airport","ADJ","Amman-Marka International Airport","Amman-Marka International","Amman"
"cs-airport","ADK","Adak Airport","Adak","Adak Island"
"cs-airport","ADL","Adelaide International Airport","Adelaide International","Adelaide"
